2024-02-15:18:42:40,547 INFO     [seglst.py:342] Applied uem and reduced SegLST from 6644 to 6644 segments.
2024-02-15:18:42:40,549 INFO     [seglst.py:342] Applied uem and reduced SegLST from 3417 to 3417 segments.
2024-02-15:18:42:51,798 INFO     [seglst.py:342] Applied uem and reduced SegLST from 5880 to 5880 segments.
2024-02-15:18:42:51,800 INFO     [seglst.py:342] Applied uem and reduced SegLST from 5471 to 5471 segments.
2024-02-15:18:42:54,564 INFO     [seglst.py:342] Applied uem and reduced SegLST from 2294 to 2294 segments.
2024-02-15:18:42:54,564 INFO     [seglst.py:342] Applied uem and reduced SegLST from 1238 to 1238 segments.
###############################################################################
### cpWER for dev chime6 Scenario #############################################
###############################################################################
+--------------+--------------+----------+----------+--------------+-------------+-----------------+------------------+------------------+------------------+
| session_id   |   error_rate |   errors |   length |   insertions |   deletions |   substitutions |   missed_speaker |   falarm_speaker |   scored_speaker |
| 20090911_110038_LDC_120454 |     0.278746 |      880 |     3157 |           88 |         424 |             368 |                0 |                1 |                2 |
| 20091208_150037_LDC_120795 |     0.25731  |      528 |     2052 |           58 |         188 |             282 |                0 |                0 |                2 |
| 20091005_150244_LDC_120534 |     0.271563 |      636 |     2342 |          109 |         193 |             334 |                0 |                1 |                2 |
| 20091106_161134_LDC_120795 |     0.242009 |      636 |     2628 |          127 |         236 |             273 |                0 |                1 |                2 |
| 20090909_091127_LDC_120454 |     0.268595 |      520 |     1936 |           52 |         221 |             247 |                0 |                0 |                2 |
| 20090811_150119_LDC_120354 |     0.292082 |      616 |     2109 |          233 |         149 |             234 |                0 |                0 |                2 |
| 20091002_170608_LDC_120488 |     0.301075 |      980 |     3255 |          194 |         235 |             551 |                0 |                2 |                2 |
| 20091211_152444_LDC_120618 |     0.260381 |      834 |     3203 |          113 |         273 |             448 |                0 |                1 |                2 |
| 20091123_150807_LDC_120795 |     0.206759 |      465 |     2249 |           37 |         214 |             214 |                0 |                0 |                2 |
| 20091110_141534_LDC_120278 |     0.240549 |      719 |     2989 |           94 |         261 |             364 |                0 |                1 |                2 |
| 20091026_160525_LDC_120718 |     0.232788 |      683 |     2934 |          144 |         218 |             321 |                0 |                1 |                2 |
| 20091006_153417_LDC_120590 |     0.315436 |     1081 |     3427 |          203 |         340 |             538 |                0 |                1 |                2 |
| 20091019_164856_LDC_120707 |     0.257047 |      693 |     2696 |          109 |         226 |             358 |                0 |                1 |                2 |
| 20090930_165847_LDC_120488 |     0.396727 |     1285 |     3239 |          231 |         310 |             744 |                0 |                1 |                2 |
| 20090811_170402_LDC_120269 |     0.304147 |      858 |     2821 |          100 |         346 |             412 |                0 |                1 |                2 |
+----------------------------+--------------+----------+----------+--------------+-------------+-----------------+------------------+------------------+------------------+
###############################################################################2024-02-15:18:43:04,912 INFO     [seglst.py:342] Applied uem and reduced SegLST from 28443 to 28443 segments.
2024-02-15:18:43:04,915 INFO     [seglst.py:342] Applied uem and reduced SegLST from 7761 to 7761 segments.

### cpWER for dev dipco Scenario ##############################################
###############################################################################
+--------------+--------------+----------+----------+--------------+-------------+-----------------+------------------+------------------+------------------+
| session_id   |   error_rate |   errors |   length |   insertions |   deletions |   substitutions |   missed_speaker |   falarm_speaker |   scored_speaker |
|--------------+--------------+----------+----------+--------------+-------------+-----------------+------------------+------------------+------------------|
| S29          |     0.531206 |     4494 |     8460 |          714 |        1833 |            1947 |                0 |                0 |                4 |
| S28          |     0.715434 |     6230 |     8708 |         1672 |        3050 |            1508 |                0 |                2 |                4 |
+--------------+--------------+----------+----------+--------------+-------------+-----------------+------------------+------------------+------------------+
###############################################################################
### cpWER for dev notsofar1 Scenario ##########################################
###############################################################################
+--------------+--------------+----------+----------+--------------+-------------+-----------------+------------------+------------------+------------------+
| session_id   |   error_rate |   errors |   length |   insertions |   deletions |   substitutions |   missed_speaker |   falarm_speaker |   scored_speaker |
|--------------+--------------+----------+----------+--------------+-------------+-----------------+------------------+------------------+------------------|
| S30871227    |     0.292109 |      385 |     1318 |           55 |         163 |             167 |                0 |                0 |                5 |
| S30871107    |     0.313354 |      413 |     1318 |           87 |         157 |             169 |                0 |                0 |                5 |
| S30871207    |     0.284522 |      375 |     1318 |           64 |         159 |             152 |                0 |                0 |                5 |
| S30861107    |     0.334836 |      520 |     1553 |           80 |         218 |             222 |                0 |                0 |                5 |
| S30861227    |     0.354153 |      550 |     1553 |          100 |         215 |             235 |                0 |                0 |                5 |
| S30861207    |     0.358017 |      556 |     1553 |           83 |         246 |             227 |                0 |                0 |                5 |
| S30878227    |     0.715026 |      966 |     1351 |          223 |         579 |             164 |                4 |                0 |                6 |
| S30878207    |     0.618061 |      835 |     1351 |          172 |         471 |             192 |                2 |                0 |                6 |
| S30878107    |     0.403405 |      545 |     1351 |           54 |         339 |             152 |                1 |                0 |                6 |
| S30931107    |     0.550526 |     1204 |     2187 |           89 |         815 |             300 |                2 |                0 |                7 |
| S30931227    |     0.552355 |     1208 |     2187 |           78 |         900 |             230 |                2 |                0 |                7 |
| S30931207    |     0.558299 |     1221 |     2187 |           75 |         950 |             196 |                2 |                0 |                7 |
| S30860227    |     0.626667 |      893 |     1425 |          251 |         356 |             286 |                1 |                0 |                5 |
| S30860207    |     0.334035 |      476 |     1425 |           98 |         191 |             187 |                1 |                0 |                5 |
| S30928207    |     0.471465 |     1107 |     2348 |           76 |         858 |             173 |                2 |                0 |                7 |
| S30928107    |     0.43356  |     1018 |     2348 |           72 |         720 |             226 |                2 |                0 |                7 |
| S30928227    |     0.455707 |     1070 |     2348 |           94 |         759 |             217 |                2 |                0 |                7 |
| S30860107    |     0.6      |      855 |     1425 |          233 |         393 |             229 |                2 |                0 |                5 |
| S30925227    |     0.509126 |      781 |     1534 |           73 |         521 |             187 |                0 |                1 |                7 |
| S30925207    |     0.43807  |      672 |     1534 |           22 |         480 |             170 |                0 |                0 |                7 |
| S30925107    |     0.468709 |      719 |     1534 |           59 |         469 |             191 |                0 |                1 |                7 |
| S30902227    |     0.310997 |      362 |     1164 |           44 |         168 |             150 |                0 |                0 |                5 |
| S30902207    |     0.390893 |      455 |     1164 |          149 |          99 |             207 |                0 |                0 |                5 |
| S30902107    |     0.29811  |      347 |     1164 |           71 |         113 |             163 |                0 |                0 |                5 |
| S30865227    |     0.48139  |      776 |     1612 |          146 |         319 |             311 |                1 |                0 |                5 |
| S30865107    |     0.483251 |      779 |     1612 |          145 |         322 |             312 |                1 |                0 |                5 |
| S30865207    |     0.490074 |      790 |     1612 |          148 |         276 |             366 |                1 |                0 |                5 |
| S30927207    |     0.466991 |     1153 |     2469 |           93 |         808 |             252 |                1 |                0 |                7 |
| S30927107    |     0.36614  |      904 |     2469 |           47 |         677 |             180 |                0 |                0 |                7 |
| S30927227    |     0.384366 |      949 |     2469 |           56 |         677 |             216 |                0 |                0 |                7 |
| S30864207    |     0.471686 |      758 |     1607 |          135 |         383 |             240 |                1 |                0 |                5 |
| S30864107    |     0.400124 |      643 |     1607 |           97 |         279 |             267 |                0 |                0 |                5 |
| S30918207    |     0.253369 |      376 |     1484 |           35 |         200 |             141 |                0 |                0 |                5 |
| S30918227    |     0.396226 |      588 |     1484 |          164 |         313 |             111 |                0 |                2 |                5 |
| S30918107    |     0.247305 |      367 |     1484 |           43 |         206 |             118 |                0 |                0 |                5 |
| S30879107    |     0.40026  |      616 |     1539 |           82 |         358 |             176 |                0 |                0 |                6 |
| S30879207    |     0.349578 |      538 |     1539 |           49 |         374 |             115 |                0 |                0 |                6 |
| S30879227    |     0.389864 |      600 |     1539 |           64 |         351 |             185 |                0 |                0 |                6 |
| S30884107    |     0.571355 |     1109 |     1941 |           45 |         693 |             371 |                1 |                0 |                6 |
| S30884227    |     0.597115 |     1159 |     1941 |           52 |         700 |             407 |                1 |                0 |                6 |
| S30872207    |     0.304294 |      489 |     1607 |           59 |         238 |             192 |                0 |                0 |                5 |
| S30872227    |     0.31425  |      505 |     1607 |           45 |         262 |             198 |                0 |                0 |                5 |
| S30872107    |     0.319228 |      513 |     1607 |           52 |         254 |             207 |                0 |                0 |                5 |
| S30890207    |     0.428571 |      789 |     1841 |           73 |         583 |             133 |                0 |                0 |                5 |
| S30890107    |     0.464965 |      856 |     1841 |           67 |         597 |             192 |                0 |                0 |                5 |
| S30890227    |     0.44541  |      820 |     1841 |           57 |         586 |             177 |                0 |                0 |                5 |
| S30870207    |     0.355044 |      447 |     1259 |          128 |          79 |             240 |                0 |                0 |                5 |
| S30870107    |     0.316918 |      399 |     1259 |          102 |          68 |             229 |                0 |                0 |                5 |
| S30870227    |     0.343924 |      433 |     1259 |          114 |          94 |             225 |                0 |                0 |                5 |
| S30893207    |     0.70894  |     1023 |     1443 |          202 |         620 |             201 |                3 |                0 |                5 |
| S30893227    |     0.663202 |      957 |     1443 |          197 |         601 |             159 |                3 |                0 |                5 |
| S30893107    |     0.680527 |      982 |     1443 |          177 |         610 |             195 |                3 |                0 |                5 |
| S30862207    |     0.366479 |      586 |     1599 |          109 |         293 |             184 |                1 |                0 |                5 |
| S30862227    |     0.350844 |      561 |     1599 |           71 |         273 |             217 |                1 |                0 |                5 |
| S30862107    |     0.402126 |      643 |     1599 |          120 |         292 |             231 |                1 |                0 |                5 |
| S30869107    |     0.371397 |      670 |     1804 |           59 |         362 |             249 |                0 |                0 |                5 |
| S30869227    |     0.395787 |      714 |     1804 |          125 |         422 |             167 |                0 |                1 |                5 |
| S30869207    |     0.381375 |      688 |     1804 |           56 |         385 |             247 |                1 |                0 |                5 |
| S30917207    |     0.150491 |      138 |      917 |           23 |          63 |              52 |                0 |                0 |                5 |
| S30917107    |     0.227917 |      209 |      917 |           26 |         102 |              81 |                1 |                0 |                5 |
| S30917227    |     0.134133 |      123 |      917 |           20 |          50 |              53 |                0 |                0 |                5 |
| S30900107    |     0.510191 |      826 |     1619 |           63 |         509 |             254 |                1 |                0 |                5 |
| S30900227    |     0.498456 |      807 |     1619 |           59 |         507 |             241 |                1 |                0 |                5 |
| S30900207    |     0.492279 |      797 |     1619 |           51 |         521 |             225 |                1 |                0 |                5 |
| S30914207    |     0.771459 |     1438 |     1864 |          234 |         805 |             399 |                2 |                0 |                6 |
| S30914227    |     0.570279 |     1063 |     1864 |          101 |         659 |             303 |                1 |                0 |                6 |
| S30914107    |     0.614807 |     1146 |     1864 |          117 |         608 |             421 |                1 |                0 |                6 |
| S30932207    |     0.747305 |     1248 |     1670 |          236 |         685 |             327 |                4 |                0 |                7 |
| S30932107    |     0.515569 |      861 |     1670 |           75 |         502 |             284 |                2 |                0 |                7 |
| S30932227    |     0.449701 |      751 |     1670 |           53 |         493 |             205 |                1 |                0 |                7 |
| S30880227    |     0.535473 |     1268 |     2368 |           85 |         908 |             275 |                2 |                0 |                6 |
| S30880107    |     0.461149 |     1092 |     2368 |           55 |         813 |             224 |                1 |                0 |                6 |
| S30880207    |     0.469595 |     1112 |     2368 |           48 |         844 |             220 |                1 |                0 |                6 |
| S30915227    |     0.547587 |     1214 |     2217 |           96 |         844 |             274 |                2 |                0 |                6 |
| S30915207    |     0.557059 |     1235 |     2217 |          118 |         783 |             334 |                1 |                0 |                6 |
| S30915107    |     0.619305 |     1373 |     2217 |          187 |         846 |             340 |                1 |                0 |                6 |
| S30930207    |     0.564103 |     1100 |     1950 |           75 |         807 |             218 |                3 |                0 |                7 |
| S30930107    |     0.627692 |     1224 |     1950 |           82 |         749 |             393 |                3 |                0 |                7 |
| S30930227    |     0.710256 |     1385 |     1950 |          133 |         941 |             311 |                4 |                0 |                7 |
| S30866207    |     0.365175 |      604 |     1654 |           87 |         267 |             250 |                0 |                0 |                5 |
| S30866107    |     0.353688 |      585 |     1654 |           75 |         243 |             267 |                0 |                0 |                5 |
| S30866227    |     0.344619 |      570 |     1654 |           46 |         286 |             238 |                0 |                0 |                5 |
| S30929207    |     0.640444 |     1213 |     1894 |           80 |         886 |             247 |                3 |                0 |                7 |
| S30929227    |     0.564942 |     1070 |     1894 |           78 |         749 |             243 |                1 |                0 |                7 |
| S30901107    |     0.673962 |     1201 |     1782 |          221 |         676 |             304 |                2 |                0 |                5 |
| S30901207    |     0.462963 |      825 |     1782 |           42 |         546 |             237 |                1 |                0 |                5 |
| S30929107    |     0.61774  |     1170 |     1894 |          160 |         748 |             262 |                2 |                0 |                7 |
| S30901227    |     0.453423 |      808 |     1782 |           22 |         586 |             200 |                1 |                0 |                5 |
| S30922207    |     0.47156  |      771 |     1635 |           44 |         517 |             210 |                1 |                0 |                5 |
| S30922107    |     0.633639 |     1036 |     1635 |          298 |         448 |             290 |                0 |                1 |                5 |
| S30922227    |     0.601223 |      983 |     1635 |          257 |         427 |             299 |                1 |                0 |                5 |
| S30921207    |     0.328992 |      480 |     1459 |           22 |         363 |              95 |                0 |                0 |                5 |
| S30921227    |     0.3756   |      548 |     1459 |           69 |         362 |             117 |                0 |                1 |                5 |
| S30921107    |     0.313914 |      458 |     1459 |           37 |         312 |             109 |                0 |                0 |                5 |
| S30868207    |     0.375917 |      615 |     1636 |           44 |         368 |             203 |                1 |                0 |                5 |
| S30868107    |     0.48533  |      794 |     1636 |          115 |         377 |             302 |                1 |                0 |                5 |
| S30868227    |     0.701711 |     1148 |     1636 |          238 |         584 |             326 |                2 |                0 |                5 |
| S30881207    |     0.543607 |      829 |     1525 |           91 |         570 |             168 |                1 |                0 |                6 |
| S30881107    |     0.683934 |     1043 |     1525 |          177 |         648 |             218 |                3 |                0 |                6 |
| S30881227    |     0.427541 |      652 |     1525 |           89 |         429 |             134 |                1 |                0 |                6 |
| S30891107    |     0.551792 |      847 |     1535 |          130 |         415 |             302 |                0 |                0 |                5 |
| S30891227    |     0.598697 |      919 |     1535 |          164 |         469 |             286 |                1 |                0 |                5 |
| S30891207    |     0.554397 |      851 |     1535 |          135 |         496 |             220 |                1 |                0 |                5 |
| S30892207    |     0.897798 |     1590 |     1771 |          217 |        1017 |             356 |                3 |                0 |                5 |
| S30892107    |     0.79616  |     1410 |     1771 |          101 |         649 |             660 |                2 |                0 |                5 |
| S30892227    |     0.618295 |     1095 |     1771 |          135 |         679 |             281 |                1 |                0 |                5 |
+--------------+--------------+----------+----------+--------------+-------------+-----------------+------------------+------------------+------------------+
###############################################################################
### cpWER for all Scenario ####################################################
###############################################################################
+-----+--------------+--------------+----------+----------+--------------+-------------+-----------------+------------------+------------------+------------------+
|     | session_id   |   error_rate |   errors |   length |   insertions |   deletions |   substitutions |   missed_speaker |   falarm_speaker |   scored_speaker |
|-----+--------------+--------------+----------+----------+--------------+-------------+-----------------+------------------+------------------+------------------|
| dev | chime6       |     0.759471 |    47912 |    63086 |         9299 |       26018 |           12595 |                0 |                5 |                8 |
| dev | mixer6       |     0.282736 |    26159 |    92521 |         4637 |        8564 |           12958 |                0 |               24 |               70 |
| dev | dipco        |     0.624651 |    10724 |    17168 |         2386 |        4883 |            3455 |                0 |                2 |                8 |
| dev | notsofar1    |     0.483953 |    86238 |   178195 |        10727 |       51050 |           24461 |              105 |                7 |              592 |
+-----+--------------+--------------+----------+----------+--------------+-------------+-----------------+------------------+------------------+------------------+
###############################################################################
### Macro-Averaged cpWER for across all Scenario ##############################
###############################################################################
+-----+--------------+
|     |   error_rate |
|-----+--------------|
| dev |     0.537703 |
+-----+--------------+
