corpus,task,name,url,fs,lang,gender,pytorch,espnet,commit,valid
vctk,tts,kan-bayashi/vctk_gst_fastspeech,https://zenodo.org/record/3986241/files/tts_train_gst_fastspeech_raw_phn_tacotron_g2p_en_no_space_train.loss.best.zip?download=1,24000,en,,,,,false
wsj,asr,kamo-naoyuki/wsj,https://zenodo.org/record/4003381/files/asr_train_asr_transformer_raw_char_valid.acc.ave.zip?download=1,16000,en,,1.6.0,0.9.1,e67a1ad,true
zeroth_korean,asr,Hoon Chung/zeroth_korean_asr_train_asr_transformer5_raw_bpe_valid.acc.ave,https://zenodo.org/record/4014588/files/asr_train_asr_transformer5_raw_bpe_valid.acc.ave.zip?download=1,16000,kr,,1.2.0,0.7.0,de119e7,true
jsut,tts,kan-bayashi/jsut_tts_train_fastspeech2_raw_phn_jaconv_pyopenjtalk_train.loss.ave,https://zenodo.org/record/4032224/files/tts_train_fastspeech2_raw_phn_jaconv_pyopenjtalk_train.loss.ave.zip?download=1,24000,jp,female,1.6.0,0.9.3,f366560,true
jsut,tts,kan-bayashi/jsut_tts_train_conformer_fastspeech2_raw_phn_jaconv_pyopenjtalk_train.loss.ave,https://zenodo.org/record/4032246/files/tts_train_conformer_fastspeech2_raw_phn_jaconv_pyopenjtalk_train.loss.ave.zip?download=1,24000,jp,female,1.6.0,0.9.3,f366560,true
csmsc,tts,kan-bayashi/csmsc_tts_train_fastspeech2_raw_phn_pypinyin_g2p_phone_train.loss.ave,https://zenodo.org/record/4031953/files/tts_train_fastspeech2_raw_phn_pypinyin_g2p_phone_train.loss.ave.zip?download=1,24000,zh,female,1.6.0,0.9.3,f366560,true
csmsc,tts,kan-bayashi/csmsc_tts_train_conformer_fastspeech2_raw_phn_pypinyin_g2p_phone_train.loss.ave,https://zenodo.org/record/4031955/files/tts_train_conformer_fastspeech2_raw_phn_pypinyin_g2p_phone_train.loss.ave.zip?download=1,24000,zh,female,1.6.0,0.9.3,f366560,true
jsut,tts,kan-bayashi/jsut_fastspeech2,https://zenodo.org/record/4032224/files/tts_train_fastspeech2_raw_phn_jaconv_pyopenjtalk_train.loss.ave.zip?download=1,24000,jp,female,1.6.0,0.9.3,f366560,true
jsut,tts,kan-bayashi/jsut_conformer_fastspeech2,https://zenodo.org/record/4032246/files/tts_train_conformer_fastspeech2_raw_phn_jaconv_pyopenjtalk_train.loss.ave.zip?download=1,24000,jp,female,1.6.0,0.9.3,f366560,true
csmsc,tts,kan-bayashi/csmsc_fastspeech2,https://zenodo.org/record/4031953/files/tts_train_fastspeech2_raw_phn_pypinyin_g2p_phone_train.loss.ave.zip?download=1,24000,zh,female,1.6.0,0.9.3,f366560,true
csmsc,tts,kan-bayashi/csmsc_conformer_fastspeech2,https://zenodo.org/record/4031955/files/tts_train_conformer_fastspeech2_raw_phn_pypinyin_g2p_phone_train.loss.ave.zip?download=1,24000,zh,female,1.6.0,0.9.3,f366560,true
ljspeech,tts,kan-bayashi/ljspeech_tts_train_fastspeech2_raw_phn_tacotron_g2p_en_no_space_train.loss.ave,https://zenodo.org/record/4036272/files/tts_train_fastspeech2_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,22050,en,female,1.6.0,0.9.3,322a5cf,true
ljspeech,tts,kan-bayashi/ljspeech_tts_train_conformer_fastspeech2_raw_phn_tacotron_g2p_en_no_space_train.loss.ave,https://zenodo.org/record/4036268/files/tts_train_conformer_fastspeech2_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,22050,en,female,1.6.0,0.9.3,322a5cf,true
jsut,tts,kan-bayashi/jsut_tts_train_transformer_raw_phn_jaconv_pyopenjtalk_train.loss.ave,https://zenodo.org/record/4034121/files/tts_train_transformer_raw_phn_jaconv_pyopenjtalk_train.loss.ave.zip?download=1,24000,jp,female,1.5.1,0.9.3,67ca53d,true
csmsc,tts,kan-bayashi/csmsc_tts_train_transformer_raw_phn_pypinyin_g2p_phone_train.loss.ave,https://zenodo.org/record/4034125/files/tts_train_transformer_raw_phn_pypinyin_g2p_phone_train.loss.ave.zip?download=1,24000,zh,female,1.5.1,0.9.3,67ca53d,true
vctk,tts,kan-bayashi/vctk_tts_train_gst_transformer_raw_phn_tacotron_g2p_en_no_space_train.loss.ave,https://zenodo.org/record/4037456/files/tts_train_gst_transformer_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,24000,en,,1.5.1,0.9.3,67ca53d,true
vctk,tts,kan-bayashi/vctk_tts_train_gst_fastspeech2_raw_phn_tacotron_g2p_en_no_space_train.loss.ave,https://zenodo.org/record/4036266/files/tts_train_gst_fastspeech2_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,24000,en,,1.6.0,0.9.3,322a5cf,true
vctk,tts,kan-bayashi/vctk_tts_train_gst_conformer_fastspeech2_raw_phn_tacotron_g2p_en_no_space_train.loss.ave,https://zenodo.org/record/4036264/files/tts_train_gst_conformer_fastspeech2_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,24000,en,,1.6.0,0.9.3,322a5cf,true
ljspeech,tts,kan-bayashi/ljspeech_fastspeech2,https://zenodo.org/record/4036272/files/tts_train_fastspeech2_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,22050,en,female,1.6.0,0.9.3,322a5cf,true
ljspeech,tts,kan-bayashi/ljspeech_conformer_fastspeech2,https://zenodo.org/record/4036268/files/tts_train_conformer_fastspeech2_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,22050,en,female,1.6.0,0.9.3,322a5cf,true
jsut,tts,kan-bayashi/jsut_transformer,https://zenodo.org/record/4034121/files/tts_train_transformer_raw_phn_jaconv_pyopenjtalk_train.loss.ave.zip?download=1,24000,jp,female,1.5.1,0.9.3,67ca53d,true
csmsc,tts,kan-bayashi/csmsc_transformer,https://zenodo.org/record/4034125/files/tts_train_transformer_raw_phn_pypinyin_g2p_phone_train.loss.ave.zip?download=1,24000,zh,female,1.5.1,0.9.3,67ca53d,true
vctk,tts,kan-bayashi/vctk_gst_transformer,https://zenodo.org/record/4037456/files/tts_train_gst_transformer_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,24000,en,,1.5.1,0.9.3,67ca53d,true
vctk,tts,kan-bayashi/vctk_gst_fastspeech2,https://zenodo.org/record/4036266/files/tts_train_gst_fastspeech2_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,24000,en,,1.6.0,0.9.3,322a5cf,true
vctk,tts,kan-bayashi/vctk_gst_conformer_fastspeech2,https://zenodo.org/record/4036264/files/tts_train_gst_conformer_fastspeech2_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,24000,en,,1.6.0,0.9.3,322a5cf,true
csj,asr,kan-bayashi/csj_asr_train_asr_transformer_raw_char_sp_valid.acc.ave,https://zenodo.org/record/4037458/files/asr_train_asr_transformer_raw_char_sp_valid.acc.ave.zip?download=1,16000,jp,,1.5.1,0.9.3,67ca53d,true
ljspeech,tts,kan-bayashi/ljspeech_tts_train_transformer_raw_phn_tacotron_g2p_en_no_space_train.loss.ave,https://zenodo.org/record/4039194/files/tts_train_transformer_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,22050,en,female,1.5.1,0.9.3,67ca53d,true
ljspeech,tts,kan-bayashi/ljspeech_transformer,https://zenodo.org/record/4039194/files/tts_train_transformer_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,22050,en,female,1.5.1,0.9.3,67ca53d,true
aishell,asr,kamo-naoyuki/aishell_conformer,https://zenodo.org/record/4105763/files/asr_train_asr_conformer3_raw_char_batch_bins4000000_accum_grad4_sp_valid.acc.ave.zip?download=1,16000,zh,,1.6.0,0.9.0,20b0c89,true
wsj,asr,kamo-naoyuki/wsj_transformer2,https://zenodo.org/record/4243201/files/asr_train_asr_transformer_raw_char_valid.acc.ave.zip?download=1,16000,en,,1.6.0,0.9.0,e7d278a,true
reverb,asr,kamo-naoyuki/reverb_asr_train_asr_transformer4_raw_char_batch_bins16000000_accum_grad1_sp_valid.acc.ave,https://zenodo.org/record/4278363/files/asr_train_asr_transformer4_raw_char_batch_bins16000000_accum_grad1_sp_valid.acc.ave.zip?download=1,16000,en,,1.5.1,0.9.5,7aad824,true
timit,asr,kamo-naoyuki/timit_asr_train_asr_raw_word_valid.acc.ave,https://zenodo.org/record/4284058/files/asr_train_asr_raw_word_valid.acc.ave.zip?download=1,16000,en,,1.6.0,0.9.5,f157fcd,true
jsut,asr,Hoon Chung/jsut_asr_train_asr_conformer8_raw_char_sp_valid.acc.ave,https://zenodo.org/record/4292742/files/asr_train_asr_conformer8_raw_char_sp_valid.acc.ave.zip?download=1,16000,ja,,1.2.0,0.9.0,6448047,true
jsut,tts,kan-bayashi/jsut_tts_train_tacotron2_raw_phn_jaconv_pyopenjtalk_accent_train.loss.ave,https://zenodo.org/record/4381098/files/tts_train_tacotron2_raw_phn_jaconv_pyopenjtalk_accent_train.loss.ave.zip?download=1,24000,jp,female,1.5.1,0.9.6,acd6957,true
jsut,tts,kan-bayashi/jsut_tts_train_transformer_raw_phn_jaconv_pyopenjtalk_accent_train.loss.ave,https://zenodo.org/record/4381096/files/tts_train_transformer_raw_phn_jaconv_pyopenjtalk_accent_train.loss.ave.zip?download=1,24000,jp,female,1.5.1,0.9.6,acd6957,true
jsut,tts,kan-bayashi/jsut_tts_train_fastspeech2_tacotron2_teacher_raw_phn_jaconv_pyopenjtalk_accent_train.loss.ave,https://zenodo.org/record/4381100/files/tts_train_fastspeech2_tacotron2_teacher_raw_phn_jaconv_pyopenjtalk_accent_train.loss.ave.zip?download=1,24000,jp,female,1.5.1,0.9.6,acd6957,true
jsut,tts,kan-bayashi/jsut_tts_train_conformer_fastspeech2_tacotron2_teacher_raw_phn_jaconv_pyopenjtalk_accent_train.loss.ave,https://zenodo.org/record/4381102/files/tts_train_conformer_fastspeech2_tacotron2_teacher_raw_phn_jaconv_pyopenjtalk_accent_train.loss.ave.zip?download=1,24000,jp,female,1.5.1,0.9.6,acd6957,true
jsut,tts,kan-bayashi/jsut_tts_train_fastspeech2_transformer_teacher_raw_phn_jaconv_pyopenjtalk_accent_train.loss.ave,https://zenodo.org/record/4391405/files/tts_train_fastspeech2_transformer_teacher_raw_phn_jaconv_pyopenjtalk_accent_train.loss.ave.zip?download=1,24000,jp,female,1.5.1,0.9.6,acd6957,true
jsut,tts,kan-bayashi/jsut_tts_train_conformer_fastspeech2_transformer_teacher_raw_phn_jaconv_pyopenjtalk_accent_train.loss.ave,https://zenodo.org/record/4391409/files/tts_train_conformer_fastspeech2_transformer_teacher_raw_phn_jaconv_pyopenjtalk_accent_train.loss.ave.zip?download=1,24000,jp,female,1.5.1,0.9.6,acd6957,true
jsut,tts,kan-bayashi/jsut_tacotron2_accent,https://zenodo.org/record/4381098/files/tts_train_tacotron2_raw_phn_jaconv_pyopenjtalk_accent_train.loss.ave.zip?download=1,24000,jp,female,1.5.1,0.9.6,acd6957,true
jsut,tts,kan-bayashi/jsut_transformer_accent,https://zenodo.org/record/4381096/files/tts_train_transformer_raw_phn_jaconv_pyopenjtalk_accent_train.loss.ave.zip?download=1,24000,jp,female,1.5.1,0.9.6,acd6957,true
jsut,tts,kan-bayashi/jsut_fastspeech2_accent,https://zenodo.org/record/4381100/files/tts_train_fastspeech2_tacotron2_teacher_raw_phn_jaconv_pyopenjtalk_accent_train.loss.ave.zip?download=1,24000,jp,female,1.5.1,0.9.6,acd6957,true
jsut,tts,kan-bayashi/jsut_conformer_fastspeech2_accent,https://zenodo.org/record/4381102/files/tts_train_conformer_fastspeech2_tacotron2_teacher_raw_phn_jaconv_pyopenjtalk_accent_train.loss.ave.zip?download=1,24000,jp,female,1.5.1,0.9.6,acd6957,true
chime4,asr,kamo-naoyuki/chime4_asr_train_asr_transformer3_raw_en_char_sp_valid.acc.ave,https://zenodo.org/record/4414883/files/asr_train_asr_transformer3_raw_en_char_sp_valid.acc.ave.zip?download=1,16000,en,,1.4.0,0.9.6,d5ddd5e,true
dirha_wsj,asr,kamo-naoyuki/dirha_wsj_asr_train_asr_transformer_cmvn_raw_char_rir_scpdatadirha_irwav.scp_noise_db_range10_17_noise_scpdatadirha_noisewav.scp_speech_volume_normalize1.0_num_workers2_rir_apply_prob1._sp_valid.acc.ave,https://zenodo.org/record/4415021/files/asr_train_asr_transformer_cmvn_raw_char_rir_scpdatadirha_irwav.scp_noise_db_range10_17_noise_scpdatadirha_noisewav.scp_speech_volume_normalize1.0_num_workers2_rir_apply_prob1._sp_valid.acc.ave.zip?download=1,16000,en,,1.5.1,0.9.6,c30ce88,true
vctk,tts,kan-bayashi/vctk_tts_train_xvector_transformer_raw_phn_tacotron_g2p_en_no_space_train.loss.ave,https://zenodo.org/record/4393279/files/tts_train_xvector_transformer_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,24000,en,,1.5.1,0.9.6,96ce09,true
vctk,tts,kan-bayashi/vctk_tts_train_gst+xvector_transformer_raw_phn_tacotron_g2p_en_no_space_train.loss.ave,https://zenodo.org/record/4393277/files/tts_train_gst%2Bxvector_transformer_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,24000,en,,1.5.1,0.9.6,96ce09,true
vctk,tts,kan-bayashi/vctk_tts_train_xvector_tacotron2_raw_phn_tacotron_g2p_en_no_space_train.loss.ave,https://zenodo.org/record/4394600/files/tts_train_xvector_tacotron2_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,24000,en,,1.5.1,0.9.6,96ce09,true
vctk,tts,kan-bayashi/vctk_tts_train_gst+xvector_tacotron2_raw_phn_tacotron_g2p_en_no_space_train.loss.ave,https://zenodo.org/record/4394598/files/tts_train_gst%2Bxvector_tacotron2_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,24000,en,,1.5.1,0.9.6,96ce09,true
vctk,tts,kan-bayashi/vctk_tts_train_xvector_conformer_fastspeech2_transformer_teacher_raw_phn_tacotron_g2p_en_no_space_train.loss.ave,https://zenodo.org/record/4394602/files/tts_train_xvector_conformer_fastspeech2_transformer_teacher_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,24000,en,,1.5.1,0.9.6,96ce09,true
vctk,tts,kan-bayashi/vctk_tts_train_gst+xvector_conformer_fastspeech2_transformer_teacher_raw_phn_tacotron_g2p_en_no_space_train.loss.ave,https://zenodo.org/record/4394608/files/tts_train_gst%2Bxvector_conformer_fastspeech2_transformer_teacher_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,24000,en,,1.5.1,0.9.6,96ce09,true
libritts,tts,kan-bayashi/libritts_tts_train_xvector_trasnformer_raw_phn_tacotron_g2p_en_no_space_train.loss.ave,https://zenodo.org/record/4409704/files/tts_train_xvector_transformer_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,24000,en,,1.5.1,0.9.6,861431,true
libritts,tts,kan-bayashi/libritts_tts_train_gst+xvector_trasnformer_raw_phn_tacotron_g2p_en_no_space_train.loss.ave,https://zenodo.org/record/4409702/files/tts_train_gst%2Bxvector_transformer_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,24000,en,,1.5.1,0.9.6,861431,true
libritts,tts,kan-bayashi/libritts_tts_train_xvector_conformer_fastspeech2_transformer_teacher_raw_phn_tacotron_g2p_en_no_space_train.loss,https://zenodo.org/record/4418754/files/tts_train_xvector_conformer_fastspeech2_transformer_teacher_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,24000,en,,1.5.1,0.9.6,861431,true
libritts,tts,kan-bayashi/libritts_tts_train_gst+xvector_conformer_fastspeech2_transformer_teacher_raw_phn_tacotron_g2p_en_no_space_train.loss,https://zenodo.org/record/4418774/files/tts_train_gst%2Bxvector_conformer_fastspeech2_transformer_teacher_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,24000,en,,1.5.1,0.9.6,861431,true
vctk,tts,kan-bayashi/vctk_xvector_transformer,https://zenodo.org/record/4393279/files/tts_train_xvector_transformer_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,24000,en,,1.5.1,0.9.6,96ce09,true
vctk,tts,kan-bayashi/vctk_gst+xvector_transformer,https://zenodo.org/record/4393277/files/tts_train_gst%2Bxvector_transformer_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,24000,en,,1.5.1,0.9.6,96ce09,true
vctk,tts,kan-bayashi/vctk_xvector_tacotron2,https://zenodo.org/record/4394600/files/tts_train_xvector_tacotron2_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,24000,en,,1.5.1,0.9.6,96ce09,true
vctk,tts,kan-bayashi/vctk_gst+xvector_tacotron2,https://zenodo.org/record/4394598/files/tts_train_gst%2Bxvector_tacotron2_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,24000,en,,1.5.1,0.9.6,96ce09,true
vctk,tts,kan-bayashi/vctk_xvector_conformer_fastspeech2,https://zenodo.org/record/4394602/files/tts_train_xvector_conformer_fastspeech2_transformer_teacher_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,24000,en,,1.5.1,0.9.6,96ce09,true
vctk,tts,kan-bayashi/vctk_gst+xvector_conformer_fastspeech2,https://zenodo.org/record/4394608/files/tts_train_gst%2Bxvector_conformer_fastspeech2_transformer_teacher_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,24000,en,,1.5.1,0.9.6,96ce09,true
libritts,tts,kan-bayashi/libritts_xvector_trasnformer,https://zenodo.org/record/4409704/files/tts_train_xvector_transformer_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,24000,en,,1.5.1,0.9.6,861431,true
libritts,tts,kan-bayashi/libritts_gst+xvector_trasnformer,https://zenodo.org/record/4409702/files/tts_train_gst%2Bxvector_transformer_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,24000,en,,1.5.1,0.9.6,861431,true
libritts,tts,kan-bayashi/libritts_xvector_conformer_fastspeech2,https://zenodo.org/record/4418754/files/tts_train_xvector_conformer_fastspeech2_transformer_teacher_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,24000,en,,1.5.1,0.9.6,861431,true
libritts,tts,kan-bayashi/libritts_gst+xvector_conformer_fastspeech2,https://zenodo.org/record/4418774/files/tts_train_gst%2Bxvector_conformer_fastspeech2_transformer_teacher_raw_phn_tacotron_g2p_en_no_space_train.loss.ave.zip?download=1,24000,en,,1.5.1,0.9.6,861431,true
hkust,asr,kamo-naoyuki/hkust_asr_train_asr_transformer2_raw_zh_char_batch_bins20000000_ctc_confignore_nan_gradtrue_sp_valid.acc.ave,https://zenodo.org/record/4430974/files/asr_train_asr_transformer2_raw_zh_char_batch_bins20000000_ctc_confignore_nan_gradtrue_sp_valid.acc.ave.zip?download=1,16000,zh,,1.4.0,0.9.6,db7dfea,true
reverb,asr,kamo-naoyuki/reverb_asr_train_asr_transformer2_raw_en_char_rir_scpdatareverb_rir_singlewav.scp_noise_db_range12_17_noise_scpdatareverb_noise_singlewav.scp_speech_volume_normalize1.0_num_workers2_rir_apply_prob0.999_noise_apply_prob1._sp_valid.acc.ave,https://zenodo.org/record/4441309/files/asr_train_asr_transformer2_raw_en_char_rir_scpdatareverb_rir_singlewav.scp_noise_db_range12_17_noise_scpdatareverb_noise_singlewav.scp_speech_volume_normalize1.0_num_workers2_rir_apply_prob0.999_noise_apply_prob1._sp_valid.acc.ave.zip?download=1,16000,en,,1.5.1,0.9.5,03659ca,true
jsut,tts,kan-bayashi/jsut_tts_train_tacotron2_raw_phn_jaconv_pyopenjtalk_accent_with_pause_train.loss.ave,https://zenodo.org/record/4433194/files/tts_train_tacotron2_raw_phn_jaconv_pyopenjtalk_accent_with_pause_train.loss.ave.zip?download=1,24000,jp,female,1.5.1,0.9.6,18fb6e,true
jsut,tts,kan-bayashi/jsut_tts_train_transformer_raw_phn_jaconv_pyopenjtalk_accent_with_pause_train.loss.ave,https://zenodo.org/record/4433196/files/tts_train_transformer_raw_phn_jaconv_pyopenjtalk_accent_with_pause_train.loss.ave.zip?download=1,24000,jp,female,1.5.1,0.9.6,18fb6e,true
jsut,tts,kan-bayashi/jsut_tts_train_fastspeech2_tacotron2_teacher_raw_phn_jaconv_pyopenjtalk_accent_with_pause_train.loss.ave,https://zenodo.org/record/4436450/files/tts_train_fastspeech2_tacotron2_teacher_raw_phn_jaconv_pyopenjtalk_accent_with_pause_train.loss.ave.zip?download=1,24000,jp,female,1.5.1,0.9.6,18fb6e,true
jsut,tts,kan-bayashi/jsut_tts_train_conformer_fastspeech2_tacotron2_teacher_raw_phn_jaconv_pyopenjtalk_accent_with_pause_train.loss.ave,https://zenodo.org/record/4436448/files/tts_train_conformer_fastspeech2_tacotron2_teacher_raw_phn_jaconv_pyopenjtalk_accent_with_pause_train.loss.ave.zip?download=1,24000,jp,female,1.5.1,0.9.6,18fb6e,true
jsut,tts,kan-bayashi/jsut_tts_train_fastspeech2_transformer_teacher_raw_phn_jaconv_pyopenjtalk_accent_with_pause_train.loss.ave,https://zenodo.org/record/4433200/files/tts_train_fastspeech2_transformer_teacher_raw_phn_jaconv_pyopenjtalk_accent_with_pause_train.loss.ave.zip?download=1,24000,jp,female,1.5.1,0.9.6,18fb6e,true
jsut,tts,kan-bayashi/jsut_tts_train_conformer_fastspeech2_transformer_teacher_raw_phn_jaconv_pyopenjtalk_accent_with_pause_train.loss.ave,https://zenodo.org/record/4433198/files/tts_train_conformer_fastspeech2_transformer_teacher_raw_phn_jaconv_pyopenjtalk_accent_with_pause_train.loss.ave.zip?download=1,24000,jp,female,1.5.1,0.9.6,18fb6e,true
jsut,tts,kan-bayashi/jsut_tacotron2_accent_with_pause,https://zenodo.org/record/4433194/files/tts_train_tacotron2_raw_phn_jaconv_pyopenjtalk_accent_with_pause_train.loss.ave.zip?download=1,24000,jp,female,1.5.1,0.9.6,18fb6e,true
jsut,tts,kan-bayashi/jsut_transformer_accent_with_pause,https://zenodo.org/record/4433196/files/tts_train_transformer_raw_phn_jaconv_pyopenjtalk_accent_with_pause_train.loss.ave.zip?download=1,24000,jp,female,1.5.1,0.9.6,18fb6e,true
jsut,tts,kan-bayashi/jsut_fastspeech2_accent_with_pause,https://zenodo.org/record/4436450/files/tts_train_fastspeech2_tacotron2_teacher_raw_phn_jaconv_pyopenjtalk_accent_with_pause_train.loss.ave.zip?download=1,24000,jp,female,1.5.1,0.9.6,18fb6e,true
jsut,tts,kan-bayashi/jsut_conformer_fastspeech2_accent_with_pause,https://zenodo.org/record/4436448/files/tts_train_conformer_fastspeech2_tacotron2_teacher_raw_phn_jaconv_pyopenjtalk_accent_with_pause_train.loss.ave.zip?download=1,24000,jp,female,1.5.1,0.9.6,18fb6e,true
librispeech,asr,kamo-naoyuki/librispeech_asr_train_asr_conformer5_raw_bpe5000_scheduler_confwarmup_steps25000_batch_bins140000000_optim_conflr0.0015_initnone_accum_grad2_sp_valid.acc.ave,https://zenodo.org/record/4541452/files/asr_train_asr_conformer5_raw_bpe5000_scheduler_confwarmup_steps25000_batch_bins140000000_optim_conflr0.0015_initnone_accum_grad2_sp_valid.acc.ave.zip?download=1,16000,en,,1.7.1,0.9.6,8eff1a9,true
