mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex
6235-36641-0058_7816-108620-0001,6235.0,F,7816.0,F
1752-16632-0038_3307-145138-0023,1752.0,F,3307.0,M
3977-87547-0019_5290-39475-0049,3977.0,M,5290.0,F
8113-301694-0022_6694-70837-0012,8113.0,F,6694.0,M
5290-26685-0013_8534-216564-0010,5290.0,F,8534.0,M
688-15446-0005_246-122825-0012,688.0,F,246.0,F
480-127525-0020_2533-149939-0006,480.0,M,2533.0,M
2853-164187-0082_4806-26894-0051,2853.0,F,4806.0,M
7594-101832-0012_6339-65534-0000,7594.0,F,6339.0,F
7011-66622-0018_1472-142848-0017,7011.0,M,1472.0,F
1607-150715-0040_3032-19361-0019,1607.0,M,3032.0,M
698-123197-0031_2827-170438-0037,698.0,F,2827.0,M
5093-39749-0016_192-123167-0009,5093.0,F,192.0,F
28-12332-0040_1018-133447-0007,28.0,F,1018.0,M
3905-172165-0029_7730-304535-0023,3905.0,F,7730.0,F
318-124224-0009_8193-116805-0008,318.0,F,8193.0,F
5337-37090-0035_6510-62516-0033,5337.0,F,6510.0,M
4731-58193-0043_2299-6524-0009,4731.0,F,2299.0,M
4226-185488-0017_23-124439-0000,4226.0,M,23.0,F
5029-31091-0024_5293-82020-0054,5029.0,F,5293.0,M
2774-131722-0022_834-130870-0050,2774.0,M,834.0,F
4733-6398-0028_6763-74797-0044,4733.0,M,6763.0,F
6157-40556-0096_7139-75360-0037,6157.0,M,7139.0,M
3347-134420-0023_7240-108066-0027,3347.0,F,7240.0,F
7789-103120-0001_2149-36146-0008,7789.0,F,2149.0,M
639-124526-0021_4957-30119-0022,639.0,M,4957.0,F
476-133471-0038_4806-26894-0015,476.0,M,4806.0,M
5684-46240-0020_1336-138113-0039,5684.0,F,1336.0,M
580-126947-0030_4057-183239-0009,580.0,M,4057.0,F
6378-61781-0011_6620-283138-0051,6378.0,F,6620.0,F
8195-117382-0119_6505-231837-0025,8195.0,M,6505.0,F
770-43321-0000_594-127732-0014,770.0,M,594.0,M
5489-10988-0022_6341-64956-0013,5489.0,F,6341.0,F
3171-68344-0011_8635-295756-0026,3171.0,M,8635.0,M
7754-105383-0067_479-126480-0021,7754.0,F,479.0,F
2299-6525-0070_30-4447-0007,2299.0,M,30.0,F
2618-138042-0083_3994-156757-0040,2618.0,M,3994.0,F
781-127518-0023_986-129388-0024,781.0,M,986.0,M
4236-8927-0068_4595-45217-0012,4236.0,M,4595.0,M
7868-110705-0034_3340-169293-0017,7868.0,F,3340.0,M
8176-115046-0003_1001-134707-0025,8176.0,M,1001.0,M
2401-144485-0017_7285-72200-0001,2401.0,F,7285.0,F
6574-70753-0018_820-123133-0048,6574.0,M,820.0,M
5717-100145-0020_1313-135020-0019,5717.0,M,1313.0,M
6927-86045-0007_8855-283228-0030,6927.0,F,8855.0,M
2269-147627-0017_7956-245687-0019,2269.0,F,7956.0,M
1958-144503-0067_216-122441-0045,1958.0,M,216.0,M
6518-66465-0030_5727-47032-0027,6518.0,F,5727.0,M
1800-142858-0072_318-124224-0067,1800.0,F,318.0,F
7318-96151-0048_4535-279849-0000,7318.0,F,4535.0,M
593-126928-0027_4222-12898-0014,593.0,M,4222.0,F
398-130093-0031_3615-14672-0034,398.0,M,3615.0,F
8684-293663-0021_1313-136054-0029,8684.0,F,1313.0,M
3448-5416-0006_5266-41151-0035,3448.0,M,5266.0,F
4039-184266-0028_2628-109663-0015,4039.0,M,2628.0,M
7540-101258-0010_925-8157-0004,7540.0,M,925.0,F
4425-14497-0017_28-12332-0017,4425.0,M,28.0,F
6956-76046-0013_1093-132891-0007,6956.0,M,1093.0,F
8222-274379-0015_7316-10642-0076,8222.0,M,7316.0,F
4148-183988-0065_6505-231838-0006,4148.0,M,6505.0,F
6269-66184-0027_3979-10702-0033,6269.0,M,3979.0,F
339-132717-0008_203-132073-0021,339.0,F,203.0,F
5206-19376-0085_2053-138888-0002,5206.0,M,2053.0,F
4098-11546-0038_5519-39478-0005,4098.0,F,5519.0,M
3876-174960-0020_7555-101283-0054,3876.0,F,7555.0,F
4434-73957-0048_1265-135636-0035,4434.0,F,1265.0,M
8855-283242-0004_7297-92812-0033,8855.0,M,7297.0,F
581-126957-0004_4848-101836-0012,581.0,M,4848.0,M
5266-34501-0010_3493-46712-0013,5266.0,F,3493.0,F
5304-55856-0007_3370-724-0004,5304.0,M,3370.0,M
2162-185436-0023_6509-67147-0037,2162.0,M,6509.0,F
4098-11547-0000_3157-168062-0021,4098.0,F,3157.0,F
7437-96153-0012_5029-31091-0018,7437.0,M,5029.0,F
3994-156757-0025_7090-91801-0008,3994.0,F,7090.0,M
476-134312-0006_5746-48361-0058,476.0,M,5746.0,M
210-129396-0043_8176-115047-0032,210.0,M,8176.0,M
2741-159386-0097_3274-167023-0011,2741.0,F,3274.0,M
353-128309-0051_6339-65554-0035,353.0,M,6339.0,F
3328-166436-0015_3703-71531-0020,3328.0,M,3703.0,F
480-123176-0040_119-129515-0013,480.0,M,119.0,M
79-121541-0086_1343-139681-0012,79.0,F,1343.0,F
8080-274558-0013_4425-14497-0037,8080.0,F,4425.0,M
3869-700-0039_154-293987-0005,3869.0,M,154.0,M
2204-131732-0086_6993-83606-0014,2204.0,F,6993.0,M
7061-85635-0013_5190-87766-0026,7061.0,M,5190.0,M
548-126961-0014_1535-141644-0021,548.0,M,1535.0,M
1337-10674-0024_724-123283-0011,1337.0,M,724.0,M
1336-138115-0030_16-122828-0041,1336.0,M,16.0,F
7555-101283-0016_1195-130164-0022,7555.0,F,1195.0,F
5570-73848-0037_925-8140-0032,5570.0,F,925.0,F
1335-27593-0023_475-125002-0009,1335.0,F,475.0,M
6510-62516-0059_4719-25766-0066,6510.0,M,4719.0,M
5984-56837-0002_5635-58137-0021,5984.0,F,5635.0,M
3025-12971-0034_781-127518-0038,3025.0,F,781.0,M
6378-61780-0022_5618-48830-0025,6378.0,F,5618.0,F
70-121127-0009_1313-135020-0036,70.0,M,1313.0,M
6567-53342-0012_7657-104717-0005,6567.0,F,7657.0,F
203-132069-0033_1456-130544-0015,203.0,F,1456.0,M
3537-5703-0054_7297-92812-0020,3537.0,F,7297.0,F
7460-92002-0036_8684-293663-0040,7460.0,M,8684.0,F
2393-144496-0103_3851-9210-0035,2393.0,M,3851.0,F
5154-6174-0033_7959-109176-0013,5154.0,F,7959.0,F
1460-138290-0024_1789-137618-0031,1460.0,F,1789.0,M
6567-53342-0082_6788-96241-0031,6567.0,F,6788.0,F
3584-74477-0028_5147-32135-0017,3584.0,F,5147.0,M
4973-44575-0004_1222-141174-0005,4973.0,M,1222.0,M
7285-72200-0020_4246-12545-0013,7285.0,F,4246.0,M
3119-163527-0077_1463-134465-0026,3119.0,F,1463.0,F
1311-134170-0005_3094-136458-0107,1311.0,M,3094.0,F
6458-61323-0012_5206-19376-0060,6458.0,M,5206.0,M
335-125951-0022_2060-150843-0036,335.0,M,2060.0,F
7704-106965-0017_2229-152842-0044,7704.0,M,2229.0,M
5239-32139-0021_3370-163384-0017,5239.0,M,3370.0,M
1740-141148-0060_8193-116804-0011,1740.0,F,8193.0,F
492-131887-0017_6956-81870-0009,492.0,M,6956.0,M
3157-119295-0025_3221-9174-0000,3157.0,F,3221.0,M
8771-294523-0012_3118-5912-0023,8771.0,F,3118.0,M
1066-5330-0017_606-130296-0026,1066.0,F,606.0,M
7090-91801-0064_8011-291458-0018,7090.0,M,8011.0,M
7732-107520-0031_7395-89882-0025,7732.0,M,7395.0,F
7395-89880-0031_1740-141148-0052,7395.0,F,1740.0,F
3738-176683-0007_451-126826-0012,3738.0,F,451.0,F
4363-14936-0060_6993-83607-0024,4363.0,F,6993.0,M
6330-62851-0010_5731-50777-0016,6330.0,M,5731.0,F
2638-10172-0038_1943-138033-0110,2638.0,F,1943.0,M
8225-274374-0015_6683-63839-0024,8225.0,M,6683.0,F
2269-88761-0023_480-127525-0013,2269.0,F,480.0,M
7938-109179-0031_339-132717-0035,7938.0,M,339.0,F
7240-92200-0005_5489-10988-0045,7240.0,F,5489.0,F
3835-178030-0010_7868-110705-0037,3835.0,M,7868.0,F
2229-152864-0036_2581-157858-0023,2229.0,M,2581.0,F
8635-295759-0036_6120-56179-0000,8635.0,M,6120.0,F
2427-154673-0012_7833-102238-0012,2427.0,M,7833.0,M
781-126737-0017_7120-76055-0040,781.0,M,7120.0,F
3537-5704-0025_369-125883-0029,3537.0,F,369.0,M
8225-274374-0008_340-124368-0056,8225.0,M,340.0,M
593-126932-0020_5319-84357-0035,593.0,M,5319.0,M
8592-285135-0004_497-129325-0033,8592.0,M,497.0,M
2816-4136-0009_5767-48579-0078,2816.0,M,5767.0,M
5876-10347-0037_4243-14929-0026,5876.0,F,4243.0,M
1472-142848-0037_1498-140040-0025,1472.0,F,1498.0,F
6395-87997-0040_115-122944-0023,6395.0,M,115.0,F
6388-64974-0012_464-126832-0005,6388.0,F,464.0,M
5622-44586-0023_5656-44577-0015,5622.0,F,5656.0,M
7285-72207-0019_803-139743-0013,7285.0,F,803.0,M
1845-145083-0017_8006-112593-0014,1845.0,F,8006.0,M
1392-135659-0025_986-129388-0103,1392.0,M,986.0,M
4381-14897-0004_1290-135762-0044,4381.0,F,1290.0,F
3728-105398-0062_8163-274549-0062,3728.0,F,8163.0,F
8028-233382-0070_204-287139-0036,8028.0,M,204.0,M
5740-39910-0014_2269-165387-0021,5740.0,F,2269.0,F
7276-90847-0043_4839-15307-0037,7276.0,F,4839.0,F
2815-160188-0036_246-224-0019,2815.0,M,246.0,F
6510-62516-0004_6378-61781-0020,6510.0,M,6378.0,F
3584-178748-0013_3070-166420-0016,3584.0,F,3070.0,M
3584-178748-0001_439-122810-0054,3584.0,F,439.0,M
6371-63713-0004_2769-176263-0033,6371.0,F,2769.0,M
724-123285-0019_4807-26853-0034,724.0,M,4807.0,F
7090-91801-0110_8097-108005-0056,7090.0,M,8097.0,F
4806-26894-0001_7286-92935-0016,4806.0,M,7286.0,F
1027-125140-0031_2319-138656-0005,1027.0,M,2319.0,M
6701-71401-0022_1779-142733-0047,6701.0,M,1779.0,F
380-129066-0040_5672-88367-0002,380.0,F,5672.0,M
2577-157236-0075_1535-141644-0033,2577.0,F,1535.0,M
4148-134149-0025_6499-57667-0018,4148.0,M,6499.0,M
2787-157400-0018_4013-182396-0011,2787.0,M,4013.0,M
8498-287357-0010_216-122441-0022,8498.0,M,216.0,M
210-129396-0105_5767-48579-0054,210.0,M,5767.0,M
1241-121106-0030_205-159056-0007,1241.0,F,205.0,F
464-126794-0023_4806-26895-0029,464.0,M,4806.0,M
3070-166420-0019_8266-279363-0049,3070.0,M,8266.0,M
335-125943-0011_227-129974-0038,335.0,M,227.0,F
7095-88483-0015_6544-67863-0019,7095.0,M,6544.0,F
6339-65534-0056_8494-244431-0001,6339.0,F,8494.0,M
6288-63101-0014_8347-258283-0007,6288.0,F,8347.0,M
7520-258986-0057_525-126965-0083,7520.0,M,525.0,F
561-126313-0003_8772-295710-0004,561.0,M,8772.0,M
3370-756-0021_7720-105168-0030,3370.0,M,7720.0,M
548-126961-0030_1473-135657-0086,548.0,M,1473.0,M
1473-135657-0027_2815-160188-0033,1473.0,M,2815.0,M
5333-5083-0035_5115-26947-0031,5333.0,M,5115.0,F
1001-134707-0066_2238-121413-0033,1001.0,M,2238.0,M
4226-12707-0012_1800-142858-0109,4226.0,M,1800.0,F
5588-68188-0036_2581-157857-0033,5588.0,F,2581.0,F
5386-4145-0014_6637-69607-0014,5386.0,M,6637.0,F
8825-292252-0008_868-131294-0013,8825.0,F,868.0,M
8194-89388-0020_5246-30101-0051,8194.0,F,5246.0,M
1536-137608-0035_1473-135657-0017,1536.0,M,1473.0,M
1460-138290-0036_6206-14960-0057,1460.0,F,6206.0,F
345-1120-0017_583-139009-0036,345.0,M,583.0,M
8786-276735-0003_4039-184265-0015,8786.0,M,4039.0,M
4257-6397-0090_3851-9210-0120,4257.0,M,3851.0,F
7286-92930-0016_8722-296473-0017,7286.0,F,8722.0,F
1668-136280-0062_112-123216-0011,1668.0,F,112.0,F
8718-295197-0003_4289-12723-0015,8718.0,F,4289.0,F
7339-86804-0019_4010-10801-0016,7339.0,M,4010.0,M
7313-91072-0065_699-132866-0026,7313.0,M,699.0,F
1678-142279-0019_8118-114476-0007,1678.0,F,8118.0,F
7949-39970-0060_2256-137627-0010,7949.0,M,2256.0,F
2269-165387-0017_359-133630-0037,2269.0,F,359.0,M
4356-6506-0051_8006-112593-0020,4356.0,F,8006.0,M
7139-88748-0002_3490-177638-0022,7139.0,M,3490.0,M
487-129440-0076_7140-72210-0017,487.0,M,7140.0,F
6701-71402-0032_2194-141248-0026,6701.0,M,2194.0,F
7809-108638-0096_3549-8890-0021,7809.0,M,3549.0,F
5914-52087-0028_188-136483-0019,5914.0,M,188.0,F
6359-64713-0000_81-121543-0089,6359.0,F,81.0,M
1028-133395-0000_1052-132776-0022,1028.0,M,1052.0,F
3638-758-0004_2240-148529-0018,3638.0,F,2240.0,M
1259-137770-0019_803-139752-0004,1259.0,F,803.0,M
7481-101276-0072_1316-132800-0018,7481.0,F,1316.0,M
345-1129-0034_5776-46889-0039,345.0,M,5776.0,M
4290-7622-0044_2929-85685-0068,4290.0,M,2929.0,M
4226-185488-0022_3307-145138-0030,4226.0,M,3307.0,M
2137-131742-0021_1027-125140-0067,2137.0,M,1027.0,M
1323-149236-0020_716-129583-0009,1323.0,M,716.0,M
3922-723-0038_501-125128-0040,3922.0,F,501.0,M
7665-104979-0027_6188-73024-0024,7665.0,M,6188.0,F
175-123036-0017_7481-101276-0038,175.0,F,7481.0,F
1052-139308-0023_1012-133424-0076,1052.0,F,1012.0,F
6937-262269-0041_2769-176256-0020,6937.0,F,2769.0,M
1987-144135-0008_5810-8674-0021,1987.0,M,5810.0,M
2319-138631-0023_6696-73295-0041,2319.0,M,6696.0,F
3851-9210-0111_1446-122614-0031,3851.0,F,1446.0,M
454-134728-0099_3977-87547-0003,454.0,M,3977.0,M
7383-95441-0011_512-124520-0046,7383.0,F,512.0,M
1212-14653-0005_8266-279363-0037,1212.0,F,8266.0,M
4331-88349-0003_4108-2777-0021,4331.0,F,4108.0,M
3361-1133-0032_1226-141279-0006,3361.0,F,1226.0,M
8875-293959-0022_4358-44937-0040,8875.0,M,4358.0,M
296-142727-0019_5401-39515-0020,296.0,M,5401.0,M
5712-48848-0002_7833-102239-0032,5712.0,F,7833.0,M
1417-1532-0010_5133-30591-0022,1417.0,F,5133.0,F
6426-64290-0002_6865-95963-0003,6426.0,F,6865.0,F
8824-279153-0007_1482-140067-0026,8824.0,M,1482.0,M
6330-62850-0033_3072-155948-0047,6330.0,M,3072.0,M
2240-148529-0039_1806-143948-0016,2240.0,M,1806.0,M
1913-143521-0018_6188-73024-0041,1913.0,M,6188.0,F
81-121543-0102_6574-70753-0017,81.0,M,6574.0,M
6924-291608-0002_2393-144496-0042,6924.0,F,2393.0,M
8008-271811-0030_5684-46240-0003,8008.0,M,5684.0,F
1100-124547-0050_5717-100145-0033,1100.0,F,5717.0,M
6157-40556-0005_2364-131735-0103,6157.0,M,2364.0,F
836-131106-0009_2093-143271-0004,836.0,M,2093.0,M
948-132707-0019_5133-30591-0007,948.0,F,5133.0,F
6406-88089-0030_596-127685-0025,6406.0,F,596.0,F
3009-10328-0027_6865-95959-0006,3009.0,M,6865.0,F
2256-137597-0032_6727-10344-0029,2256.0,F,6727.0,M
3083-7944-0055_7717-104491-0044,3083.0,F,7717.0,F
6373-65772-0022_5261-19373-0016,6373.0,F,5261.0,M
8190-284433-0000_7720-105168-0052,8190.0,F,7720.0,M
1487-133273-0110_3825-134160-0022,1487.0,M,3825.0,M
5319-64075-0001_5727-47032-0012,5319.0,M,5727.0,M
7258-91902-0039_2751-142363-0026,7258.0,M,2751.0,F
4044-9010-0009_830-130728-0035,4044.0,F,830.0,F
5809-58763-0011_2061-147110-0012,5809.0,F,2061.0,F
5513-39477-0038_5918-46890-0090,5513.0,M,5918.0,M
731-366-0027_1343-158796-0035,731.0,F,1343.0,F
1066-103481-0029_5724-13364-0040,1066.0,F,5724.0,F
598-127704-0028_7949-39970-0016,598.0,F,7949.0,M
492-131882-0001_1283-129808-0009,492.0,M,1283.0,M
4495-10160-0071_6567-53342-0044,4495.0,M,6567.0,F
7982-245691-0011_258-130878-0004,7982.0,F,258.0,M
639-124526-0046_4598-6176-0039,639.0,M,4598.0,F
3825-134160-0010_3357-28380-0004,3825.0,M,3357.0,F
3728-105386-0028_126-125084-0020,3728.0,F,126.0,F
1335-27593-0022_7867-110742-0046,1335.0,F,7867.0,M
4719-25766-0036_5935-43322-0032,4719.0,M,5935.0,M
711-187464-0029_4290-7622-0046,711.0,M,4290.0,M
472-130755-0016_3967-29012-0035,472.0,F,3967.0,F
6904-262305-0024_7245-104890-0021,6904.0,F,7245.0,F
6233-61742-0025_6189-64708-0004,6233.0,F,6189.0,F
8300-275128-0035_4899-32637-0025,8300.0,F,4899.0,F
6518-66464-0008_724-123283-0037,6518.0,F,724.0,M
724-123285-0043_3328-168638-0024,724.0,M,3328.0,M
7258-91902-0007_2532-163402-0018,7258.0,M,2532.0,F
30-4447-0020_7297-275885-0046,30.0,F,7297.0,F
8718-295445-0029_783-126739-0046,8718.0,F,783.0,F
2785-154284-0001_868-131295-0057,2785.0,F,868.0,M
6690-73075-0005_5007-31609-0019,6690.0,M,5007.0,F
6993-83606-0020_6294-85684-0018,6993.0,M,6294.0,M
5190-87791-0009_3046-137739-0042,5190.0,M,3046.0,F
126-122467-0073_3540-163612-0115,126.0,F,3540.0,M
7481-101276-0091_4108-2772-0033,7481.0,F,4108.0,M
2056-143893-0002_434-132644-0021,2056.0,F,434.0,F
6139-58869-0015_5093-39749-0017,6139.0,F,5093.0,F
594-128329-0003_820-123133-0050,594.0,M,820.0,M
953-130625-0010_380-129064-0043,953.0,M,380.0,F
7525-92915-0013_1668-136280-0041,7525.0,F,1668.0,F
5538-64717-0011_3368-170951-0005,5538.0,F,3368.0,M
5767-48579-0037_4238-12895-0016,5767.0,M,4238.0,F
1224-121064-0048_7061-88086-0056,1224.0,F,7061.0,M
7188-107627-0037_7286-92935-0021,7188.0,M,7286.0,F
1365-134825-0026_114-129324-0041,1365.0,M,114.0,F
1779-142733-0015_8075-279239-0005,1779.0,F,8075.0,F
5583-41259-0030_7481-101276-0071,5583.0,F,7481.0,F
2194-141235-0032_4592-22179-0041,2194.0,F,4592.0,F
5206-19376-0077_3781-156977-0015,5206.0,M,3781.0,F
1100-124547-0041_8225-274375-0006,1100.0,F,8225.0,M
716-129582-0000_4629-19366-0073,716.0,M,4629.0,M
7874-110243-0059_1552-141135-0040,7874.0,M,1552.0,M
208-128036-0016_612-121766-0020,208.0,F,612.0,F
1825-135580-0066_2194-141248-0004,1825.0,F,2194.0,F
6499-91098-0013_2272-152264-0016,6499.0,M,2272.0,M
6352-83633-0011_2039-141208-0037,6352.0,F,2039.0,M
3546-9321-0029_2156-17942-0029,3546.0,F,2156.0,M
4973-44575-0021_6233-61741-0013,4973.0,M,6233.0,F
4010-10801-0025_5809-58763-0018,4010.0,M,5809.0,F
1222-141174-0044_4586-96498-0018,1222.0,M,4586.0,M
5304-109507-0022_8459-285173-0040,5304.0,M,8459.0,M
476-134312-0036_7802-104398-0037,476.0,M,7802.0,F
3032-19361-0023_6538-81858-0034,3032.0,M,6538.0,M
7868-110705-0001_2404-141242-0018,7868.0,F,2404.0,M
8635-295761-0017_6032-56222-0019,8635.0,M,6032.0,F
5883-59268-0008_711-187464-0003,5883.0,M,711.0,M
7515-100431-0010_698-122863-0026,7515.0,F,698.0,F
7128-84121-0014_1413-121799-0115,7128.0,M,1413.0,M
7294-92934-0000_6104-58845-0004,7294.0,F,6104.0,F
2562-133442-0005_7982-110054-0000,2562.0,M,7982.0,F
5604-26956-0025_6054-41610-0019,5604.0,F,6054.0,F
2272-150674-0009_249-121331-0067,2272.0,M,249.0,M
1859-145703-0028_8193-116805-0016,1859.0,F,8193.0,F
1259-27120-0018_6956-81870-0041,1259.0,F,6956.0,M
1752-16632-0032_6054-41610-0039,1752.0,F,6054.0,F
6014-32886-0024_711-187464-0045,6014.0,F,711.0,M
7384-84010-0018_8591-284444-0030,7384.0,F,8591.0,F
1241-121103-0030_7285-72200-0016,1241.0,F,7285.0,F
4837-302000-0012_6300-39660-0002,4837.0,F,6300.0,F
5724-13364-0119_606-121661-0040,5724.0,F,606.0,M
5157-47239-0010_6574-120583-0036,5157.0,M,6574.0,M
8545-287671-0049_2334-150916-0026,8545.0,F,2334.0,M
